review,label,Country
Absolutely Shocked,Negative,South Africa
"Great film-making, but not a great film",Negative,Indonesia
Crazy. Chaotic. Captivating.,Positive,New Zealand
Beautiful Movie,Positive,Nigeria
Can't explain what I felt.,Negative,Argentina
I can't believe it was 3hrs long...I didn't want it to end!,Negative,South Africa
I truly enjoyed the ride that is Babylon and the ambition Chazelle had with this.,Positive,South Africa
"Babylon just as it's name signifies, this movie is epic and massive. A opera to Hollywood",Positive,South Korea
Babylon and on and on,Neutral,South Korea
Magnificent,Positive,Nigeria
The only difference between the 1920's and the 2020's is that they didn't have social media or selfie sticks.,Neutral,Egypt
Babylon (2022) Review,Neutral,Brazil
discusting and waste of time,Negative,Indonesia
Underground and anti glamor Hollywood,Neutral,Saudi Arabia
A tribute to the Hollywood movie industry and its history.,Positive,Egypt
"In five years, they'll call it a masterpiece, and deservedly so",Positive,Argentina
Frenzied Full of Excessive Debauchery...Wide-Open Look at Roaring 20's Hollywood,Negative,Saudi Arabia
"Babylon Was A Masterpiece, It's One Of The Best Films I've Seen, And It's The Grandest And Wildest Movie You Will Ever Watch",Positive,Nigeria
A cinematic organised chaos of a movie,Negative,South Korea
Singin in the Rain (Reprise),Neutral,Saudi Arabia
The most chaotic film of 2022,Negative,Egypt
A brave Caligula-esque ode to the excess of Hollywood,Neutral,Argentina
3hours I will never get back,Negative,Indonesia
Babylon,Neutral,Brazil
"Overlong, perhaps, but deserving of its many accolades.",Positive,Nigeria
"""Babylon"" a remix of ""Cinema Paradiso"" & ""The Artist""",Neutral,New Zealand
Exciting look back at the early days of cinema,Positive,Argentina
At least the music was good.,Positive,Nigeria
"Deacadence, Decay & Death",Negative,Egypt
A highly uneven mess that is still worth watching once,Negative,Brazil
8,Neutral,South Africa
"Too much, too little and way too long",Negative,Indonesia
Really good,Positive,South Africa
Transitioning in a time of Change,Neutral,Brazil
Babylon: Chazelle reaching perfection,Positive,Argentina
Exhaustive and at Times Exhausting,Negative,South Africa
A love letter to Hollywood!,Positive,Indonesia
Better than the critics claim,Positive,Argentina
The ultimate True Hollywood Story,Neutral,Nigeria
Three hours very well spent,Positive,Egypt
Unique and not for everyone,Neutral,Indonesia
Almost a masterpiece.,Positive,Argentina
The La La Before the Land,Neutral,Nigeria
"Chazelle's big, loud and brassy tribute to old Hollywood",Positive,Egypt
"It may have failed, but try getting it out of your head.",Negative,South Korea
A movie for the ages,Positive,Saudi Arabia
"A long slog, but some spectacular scenes.",Positive,Egypt
A fascinating cinematographic experience,Positive,Argentina
Incredibly over the top,Negative,Saudi Arabia
Scorsese style Rip-Off in a La La Land 2.0,Neutral,Saudi Arabia
Do not get fooled by the score or critics. A masterpiece.,Positive,New Zealand
One of the Best Movies Ever,Positive,Argentina
A Fascinatingly Obscene Callback to 1920s Hollywood,Positive,Argentina
Poetry.,Neutral,Saudi Arabia
The Wolf of Wall Street + Once Upon a Time in Hollywood,Neutral,Turkey
I need a cold shower and a paracetamol,Neutral,South Africa
"Magnificent, sumptuous, star-studded, deliciously debauched (long!) epic",Positive,New Zealand
Not worth the watch,Negative,Indonesia
Extraordinary for nothingness,Negative,Nigeria
"Wild, crazy, fun",Positive,South Africa
7/10. Recommended,Positive,Brazil
Notice me senpai,Neutral,Saudi Arabia
I really liked it! It feels BIG.,Positive,Egypt
W O W,Neutral,Turkey
Early Hollywood Laid Bare,Neutral,Egypt
Too much or just enough?,Neutral,Argentina
Hollywood is a mess!,Negative,Turkey
Quite disappointing from such a good director.,Negative,Egypt
Entertaining,Positive,Saudi Arabia
A glossy and chaotic film that suffers from a loss of identity,Negative,Turkey
Very memorable,Positive,Indonesia
"Crass, messy & unwatchable",Negative,Turkey
A great tribute to early Hollywood,Positive,Egypt
A slice of life of Hollywood of 1920s,Neutral,Brazil
I Expected better,Neutral,Brazil
Well well.....oh.?,Neutral,South Korea
One of the great films of this century.,Positive,Nigeria
Harley Quinn sent back to early Hollywood,Neutral,Brazil
Another miss for Margot Robbie in 2022,Negative,South Korea
"Bad, Bad, Bad!!!",Negative,Brazil
Pretentious and boring,Negative,Saudi Arabia
"Wild and frenetic, but it wasn't what the script called for.",Negative,South Korea
"Beautiful, but boring",Positive,Brazil
Horriwood,Neutral,Egypt
Interesting for awhile,Positive,Egypt
disappointment,Negative,Egypt
A Mixed Bag,Neutral,South Korea
Cinema within the cinema,Neutral,Argentina
An Ode,Neutral,South Korea
"Good movie, very good",Positive,Nigeria
Thumbs Up!,Positive,Argentina
Still thinking about it two days later,Negative,Saudi Arabia
"If you're a film fan, you'll love this one!",Positive,Egypt
It was Perfect. People are misunderstanding the movie.,Positive,South Africa
Much better than i expected,Positive,South Korea
Babylon Nights,Neutral,South Africa
"""Complexo de Épico"", by Tom Zé",Neutral,Indonesia
Unraveling the Chaos of Early Hollywood's Golden Age,Neutral,New Zealand
Glamour and Decadence in Hollywood's Golden Era,Positive,South Korea
Spectacular but flawed love letter to the movies golden age,Positive,South Africa
"Not for most, but for some, quite the show!",Positive,South Korea
"A bloated, darker copy of ""Singing in the Rain""",Negative,South Korea
Confusion and disorder,Negative,South Korea
Wow. Blew me away.,Positive,South Korea
Damn what a ride!!!!,Positive,Egypt
maybe works better as a tv show,Neutral,New Zealand
Misunderstood and under appreciated,Negative,Egypt
A Modern Classic Whose Legacy Will Only Grow,Positive,Egypt
A Few Strong Points But Generally Very Disappointing,Negative,Brazil
A Cynical Love Letter to the Golden Age of Hollywood,Neutral,Egypt
A masterpiece to return to again & again,Positive,Saudi Arabia
Unnecessary Scenes,Negative,Brazil
I loved it,Positive,Turkey
Severely underrated creation of Damien Chazelle,Neutral,New Zealand
Dazzling and over-the-top!,Positive,Argentina
The same story without the excesses would not have been about the same thing.,Neutral,New Zealand
Adapt or fade away,Neutral,South Africa
I think this movie is an absolute masterpiece. and a must watch,Positive,New Zealand
Babylon is one of the most bizarre films I've ever seen,Negative,Turkey
It missed the mark for me,Negative,Egypt
Good has the potential to be great,Positive,Saudi Arabia
I don't understand why this film isn't huge?!,Negative,Saudi Arabia
SPOILER ALERT???,Neutral,New Zealand
A Very VERY Long Goodbye,Negative,South Korea
A visual treat!,Positive,Argentina
A Wildly Entertaining and Audacious Ode to Life's Fleeting Memories and Enduring Images,Positive,Nigeria
Wow,Positive,Turkey
Not for everyone,Neutral,New Zealand
Technically great but lost in the characters,Positive,New Zealand
Love and Hate Letter to Hollywood,Neutral,New Zealand
A masterpiece which must be seen!,Positive,South Africa
A look behind the scenes of Hollywood,Neutral,Nigeria
A love and hate letter to Hollywood,Negative,Nigeria
Human life story,Neutral,Nigeria
I loved it and here's why,Positive,Nigeria
Wild ride thru history of Hollywood,Neutral,Nigeria
Very good,Positive,Indonesia
Breathtaking movie,Positive,South Korea
MASTERPIECE!,Positive,Brazil
Amazing and stunning.,Positive,New Zealand
Fantastic cast as larger-than-life characters.,Positive,Argentina
"Excessive, Overwhelming, Exhausting, Insanity",Negative,Brazil
"Hard to explain,you gotta experience it",Neutral,Argentina
Hollywood drinks its own Kool Aid.,Negative,New Zealand
Margot Robbie steals the movie,Positive,South Africa
Is it long? Yes. Is it good? Yes.,Positive,Brazil
Wretched Excess about a Wretched Excess Hollywood Era,Neutral,South Korea
Obsessed with this movie,Positive,Indonesia
A 3 hour epic...but I loved it,Positive,Argentina
"Graphic, Dark, shock-value Theater, with some moments of fine acting. And LONG!",Positive,Nigeria
A sheer celebration of cinema and life itself,Positive,Nigeria
"Complete, full on pandemonium and it's GREAT!",Positive,Indonesia
Representation Matters,Neutral,Brazil
Very decent,Positive,Brazil
A roller coaster of emotions,Neutral,Nigeria
Don't base your opinion on the opening 30 mins,Neutral,Nigeria
Glorified on excess and should be shorter.,Neutral,Saudi Arabia
"Stumbling loudly, down the right path.",Neutral,Argentina
Ups & downs,Neutral,Argentina
"This man, who really love Hollywood!",Positive,New Zealand
"""Babylon"" is like a glaze or cherry on top",Neutral,Turkey
A great time at the cinema,Positive,Turkey
Nostalgia is wasted on the young,Negative,Nigeria
A Piece of Cinematic Art,Neutral,South Africa
An exaggerated but glorious movie,Positive,New Zealand
Wished it was better,Positive,Saudi Arabia
"This movie is a party, full of references and fun for the cinematic eye - a never boring orgie with an amazing score.",Positive,Saudi Arabia
Magnificent Movie and Margot Robbie wonderful in her role!,Positive,South Korea
FANTASTIC & DISGUSTING,Negative,South Africa
No need experience to feel it,Neutral,Argentina
Big ideas that ultimately feel small.,Neutral,Nigeria
Unpopular opinion: I personally loved Babylon in all the aspects.,Positive,Argentina
I think Margot Robbie should win the Oscar,Positive,Indonesia
BABYLON: AN ELEPHANTINE TIME TRIP,Neutral,Indonesia
Great potential wasted by a lack of restraint,Negative,Indonesia
A call to wonder,Neutral,South Korea
BABYLON IS A LIFE RAFT for MOVIE LOVERS,Positive,Egypt
META: Your mileage may vary.,Neutral,South Korea
Shockvalue doesn't Equal Fun!!!,Negative,Nigeria
An Epic...Almost,Positive,Egypt
Challenges our own prejudices,Neutral,Indonesia
Honest Review,Neutral,Indonesia
Baby Lone,Neutral,Egypt
A spectacular failure,Negative,South Korea
Ok but WAY too long,Negative,South Africa
Simply how cinema should be,Positive,Brazil
Glorious-Hollywood's Naked Heart,Positive,Indonesia
A lesson in fame and legacy.,Neutral,Nigeria
"Chaos, love and trumpets",Neutral,New Zealand
Good but messy,Negative,Argentina
Is this my life now?,Neutral,New Zealand
Iconic Must see,Positive,New Zealand
What starts as a party bold as 'Babylon' ends with ...,Neutral,Brazil
"Uneven, needed a stronger story",Neutral,Turkey
Squirting masterpeice,Neutral,Nigeria
The roaring 20's,Neutral,South Africa
A movie that makes you wonder why on earth you weren't born in the 1920s.,Negative,New Zealand
A bow at what made and broke the cinema,Neutral,Argentina
Over the top dramatics but entertaining nevertheless,Positive,South Africa
A nice-looking mess,Positive,New Zealand
"In a hill hungry for a lonely, lost WILD CHILD, Grand Masterpiece, 11/10",Neutral,Nigeria
A Movie For People Who Love Movies,Positive,South Korea
Not sure I liked it but it still deserves a 6,Neutral,Turkey
Piece of art but so hard to watch,Negative,Turkey
Better Pacing - editing - whatever,Positive,South Korea
Devil behind Hollywood in the story of modern Eloi and Morlocks excellently paced by music,Neutral,Brazil
Piuttosto Divertent,Neutral,Argentina
Damien Chazelle.. I FREAKING LOVE YOU!!,Positive,Argentina
Watch if you are interested in characters without top clothing,Neutral,Brazil
A film about Hollywood that ventures into some philosophical debate,Neutral,South Korea
Would have been a masterpiece if...,Positive,New Zealand
What an amazing experience!!,Positive,Saudi Arabia
About 30 editing minutes away from being great,Positive,Turkey
A proper film,Positive,South Africa
A period epic driven by a musical heartbeat,Positive,Brazil
An amazing tribute to cinema,Positive,Turkey
Expected too much,Neutral,South Africa
History of Hollywood NSFW,Neutral,New Zealand
Pure Art A treat for the movie lovers.,Positive,Turkey
"Long, but enjoyable",Positive,Nigeria
"Margot Robbie, Wow!",Positive,Brazil
Was blown away!!!,Positive,Indonesia
A love letter to cinema,Positive,South Africa
Emotional and provocative.,Neutral,Indonesia
what a pity,Negative,Turkey
AN ALL YOU CAN EAT BUFFET,Neutral,Nigeria
Spectacular to watch,Positive,Indonesia
Babylon: A Tribute to Inclusivity and a Glimpse into the Future of AI-Assisted Filmmaking,Neutral,New Zealand
It's not bad as everybody's talking about :) That's true and real :) And the music's still very good...,Positive,Saudi Arabia
Obscene and grotesque whilst charming and poetic,Neutral,Saudi Arabia
Where movie lovers come to die,Negative,South Korea
"Not my favorite, but a must-watch!",Positive,Turkey
This movie doesn't deserve any hate,Negative,Indonesia
Babylon: A love affair that excites and delivers,Positive,New Zealand
"An Explosion of History, Jazz and Nostalgia",Positive,Saudi Arabia
A shorter version maybe,Neutral,South Africa
Boogie Nights in the Roaring 20's,Neutral,Nigeria
This Could Have Been Great,Positive,Nigeria
Beautiful Chaos,Positive,New Zealand
Technical masterpiece with some minor flaws,Positive,South Korea
A love letter to cinema,Positive,Brazil
Review,Neutral,South Korea
Too over the top,Negative,South Africa
Meaningless Trash!,Negative,Indonesia
"Strange Name, Strange Movie",Neutral,Indonesia
Go for it,Positive,Nigeria
must watch,Positive,Indonesia
This is an experience - not just a movie,Neutral,South Korea
cinema is chaos,Negative,Nigeria
Epic in so many ways,Positive,Argentina
without the first half it would be a 5/10,Neutral,Egypt
"Those who cling to death live, while those who cling to life die.",Neutral,Indonesia
"Babylon: A Cinematic Time Capsule, Where the Glitz and Grit of Old Hollywood Come Alive",Neutral,New Zealand
Chazelle went for it,Positive,Egypt
On Excess and Transformation,Neutral,Turkey
Would've made a great 10 episode series,Positive,New Zealand
Real,Neutral,South Korea
A letter to Nellie,Neutral,South Korea
Self masturbating waste of time.,Negative,Argentina
Some excesses but overall incredible,Positive,South Africa
Mild thematic spoilers. A poignant film.,Positive,New Zealand
Amazing!!!,Positive,Argentina
Wow.,Positive,New Zealand
Way better than the critics would have you believe,Positive,New Zealand
"Despite all the gore, it's just as romantic as La La Land",Positive,South Korea
A cinematic roller coaster ride,Positive,Brazil
Left me feeling very unsure of what or how this made me feel,Negative,Turkey
"Like your or i or them Heavens, Babylon 2022 contains mischievous",Neutral,South Africa
A full movie theater experience,Positive,Argentina
Perfect,Positive,Egypt
Love lettre to cinéma,Neutral,Saudi Arabia
A very interesting watch,Positive,Indonesia
A cinematic marvel,Positive,Argentina
a three-hour documentary,Neutral,South Africa
Creative brilliance,Positive,Turkey
Feast for the senses,Positive,Egypt
In few years people will notice how good it is,Positive,Brazil
Cinematographic Masterpiece,Positive,Brazil
An experience for movie going.,Positive,Argentina
Chaos and order,Neutral,South Africa
A Poorly Executed Love Letter,Negative,South Korea
"A love letter to Cinema, with some strange decisions",Neutral,Egypt
Rated R and dark version of Singin in the Rain,Neutral,New Zealand
beauty about babylon,Positive,Argentina
Evolution of cinema,Neutral,Saudi Arabia
I gave it a 10 for the soundtrack,Positive,South Africa
Love it or Hate It! Babylon!,Positive,New Zealand
Captivating Performances Marred by Unnecessary Explicit Content,Negative,Saudi Arabia
Realistic acting.,Neutral,Argentina
It's good but not a 10,Neutral,New Zealand
I don't know why it got so much hate,Negative,Indonesia
Best movie about filmmaking,Positive,Argentina
At times brilliant,Positive,Argentina
Don't ever read reviews before watching a movie,Neutral,Egypt
Chaos and not in a good way,Negative,Egypt
"""You should point the camera the other way""",Neutral,South Africa
Three Quarters Good,Positive,Brazil
"""0to change or not to change""",Neutral,Nigeria
Great Movie Overall,Positive,South Africa
YES YES YES,Positive,Saudi Arabia
This movie is a gem,Positive,South Africa
Boo Boo Land,Neutral,South Korea
"Although there are incountable flies dead in the street lamp, We could see only beautiful nightscape from far here now.",Neutral,Saudi Arabia
Three hours of raw cinema.,Neutral,Turkey
An ode to Hollywood.,Neutral,South Korea
A love letter to cinema,Positive,Brazil
Band singing in no sound movie,Neutral,Nigeria
Great acting talents,Positive,Indonesia
To all who is interested:,Neutral,Brazil
Damien chazelle doesn't dissapoint,Neutral,Egypt
that's wat i was thinking of before babylon ...,Neutral,New Zealand
Great,Positive,Saudi Arabia
The Details! It's Worth IT!!!,Positive,Indonesia
This film was better than I was lead to believe.,Positive,Brazil
Babylon is a movie worthy of box office success!,Positive,Argentina
A horrifying spectacular,Negative,Indonesia
Chaotic but memorable.,Positive,South Korea
"Lafayette, i thought it's our Louisiana's",Neutral,Indonesia
Juste insane !,Negative,Brazil
Lover's of film!,Positive,South Korea
all of emotions get into this masterpiece,Positive,Saudi Arabia
"Good ideas, many flaws",Neutral,Brazil
Harold Robbins clone,Neutral,Indonesia
"The Masterpiece Of 20s, About The 20s",Neutral,South Africa
Babylon as a mirror of the society that builds us,Neutral,Brazil
Best movie ever!,Positive,Indonesia
Damien Chazelle's 'Babylon' Revives the Magic and Struggles of Hollywood's Transition to Sound,Neutral,Turkey
A must see.,Positive,Turkey
Incredible Movie,Positive,Argentina
An interesting articulation of a complex and competitive industry,Positive,New Zealand
Best movie since Interstellar,Positive,Brazil
Confounded by the common critique that it is a mess. One of the best films of 2022,Positive,South Korea
